iter	Passed	Remaining
831	5185	1047
832	5191	1040
833	5197	1034
834	5202	1028
835	5208	1021
836	5214	1015
837	5220	1009
838	5225	1002
839	5231	996
840	5237	990
841	5243	983
842	5249	977
843	5255	971
844	5261	965
845	5267	958
846	5273	952
847	5279	946
848	5285	939
849	5290	933
850	5296	927
851	5302	921
852	5308	914
853	5314	908
854	5320	902
855	5326	896
856	5333	889
857	5339	883
858	5345	877
859	5351	871
860	5357	864
861	5363	858
862	5369	852
863	5376	846
864	5382	839
865	5387	833
866	5393	827
867	5399	821
868	5404	814
869	5411	808
870	5417	802
871	5423	796
872	5430	789
873	5436	783
874	5442	777
875	5448	771
876	5454	765
877	5461	758
878	5467	752
879	5473	746
880	5479	740
881	5485	733
882	5491	727
883	5497	721
884	5504	715
885	5510	709
886	5516	702
887	5522	696
888	5528	690
889	5534	684
890	5541	677
891	5547	671
892	5553	665
893	5559	659
894	5565	652
895	5572	646
896	5577	640
897	5583	634
898	5590	628
899	5596	621
900	5602	615
901	5608	609
902	5614	603
903	5620	596
904	5626	590
905	5632	584
906	5638	578
907	5645	571
908	5651	565
909	5657	559
910	5663	553
911	5669	547
912	5675	540
913	5681	534
914	5687	528
915	5693	522
916	5699	515
917	5706	509
918	5712	503
919	5718	497
920	5724	491
921	5730	484
922	5736	478
923	5742	472
924	5749	466
925	5755	459
926	5761	453
927	5767	447
928	5773	441
929	5780	435
930	5786	428
931	5792	422
932	5798	416
933	5804	410
934	5811	403
935	5817	397
936	5823	391
937	5830	385
938	5835	379
939	5842	372
940	5848	366
941	5854	360
942	5860	354
943	5866	348
944	5872	341
945	5878	335
946	5885	329
947	5890	323
948	5897	316
949	5903	310
950	5909	304
951	5915	298
952	5921	292
953	5927	285
954	5933	279
955	5939	273
956	5945	267
957	5952	260
958	5958	254
959	5964	248
960	5970	242
961	5976	236
962	5983	229
963	5988	223
964	5995	217
965	6001	211
966	6006	204
967	6013	198
968	6019	192
969	6026	186
970	6032	180
971	6038	173
972	6044	167
973	6050	161
974	6057	155
975	6062	149
976	6068	142
977	6075	136
978	6081	130
979	6087	124
980	6093	118
981	6099	111
982	6105	105
983	6111	99
984	6117	93
985	6123	86
986	6129	80
987	6135	74
988	6141	68
989	6147	62
990	6153	55
991	6159	49
992	6166	43
993	6172	37
994	6178	31
995	6185	24
996	6191	18
997	6197	12
998	6203	6
999	6209	0
